mean_test_score,mean_fit_time,std_test_score,clf,clf__C,clf__gamma,clf__kernel,clf__criterion,clf__max_depth,clf__min_samples_leaf
0.7362500000000001,0.04640254974365234,0.01391941090707506,SVC,10.0,0.01,rbf,,,
0.72375,0.031198787689208984,0.014469796128487797,SVC,100.0,0.001,rbf,,,
0.7212500000000001,0.04319543838500976,0.014031215200402267,SVC,100.0,0.01,rbf,,,
0.7100000000000002,0.04681949615478516,0.023251344047172866,SVC,0.1,0.1,poly,,,
0.7100000000000002,0.04684028625488281,0.023251344047172866,SVC,100.0,0.01,poly,,,
0.70625,0.045401382446289065,0.030362394503727803,SVC,10.0,1.0,poly,,,
0.70625,0.05320420265197754,0.030362394503727803,SVC,1.0,0.1,poly,,,
0.70625,0.05059962272644043,0.030362394503727803,SVC,0.1,1.0,poly,,,
0.70625,0.04921026229858398,0.030362394503727803,SVC,10.0,0.1,poly,,,
0.70625,0.04299969673156738,0.030362394503727803,SVC,100.0,1.0,poly,,,
0.70625,0.0459989070892334,0.030362394503727803,SVC,100.0,0.1,poly,,,
0.70625,0.04859857559204102,0.030362394503727803,SVC,1.0,1.0,poly,,,
0.70125,0.030514240264892578,0.012747548783981958,SVC,100.0,0.001,sigmoid,,,
0.70125,0.026598596572875978,0.012747548783981958,SVC,0.1,,linear,,,
0.7,0.49380879402160643,0.02270737765573119,RandomForest,,,,gini,30.0,1.0
0.6962499999999999,0.8122329711914062,0.018791620472966147,RandomForest,,,,entropy,30.0,1.0
0.69,0.8946834564208984,0.02783882181415009,RandomForest,,,,entropy,20.0,1.0
0.6887500000000001,0.03879861831665039,0.019921721813136527,SVC,10.0,0.001,rbf,,,
0.68125,0.8280038833618164,0.03259601202601324,RandomForest,,,,entropy,10.0,1.0
0.68,0.7620342254638672,0.04153311931459039,RandomForest,,,,entropy,10.0,5.0
0.67875,0.044598960876464845,0.018791620472966147,SVC,10.0,,linear,,,
0.67875,0.41219191551208495,0.03102418411497714,RandomForest,,,,gini,10.0,1.0
0.67875,0.04700002670288086,0.019605483926697656,SVC,100.0,,linear,,,
0.6775,0.032816505432128905,0.025186802099512365,SVC,1.0,,linear,,,
0.675,0.04939975738525391,0.02766992952647333,SVC,1.0,0.01,rbf,,,
0.675,0.5136932373046875,0.03972562145517676,RandomForest,,,,gini,20.0,1.0
0.6725,0.7836423397064209,0.04517327749898161,RandomForest,,,,entropy,30.0,5.0
0.6637500000000001,0.06992149353027344,0.015512092057488566,SVC,100.0,0.1,rbf,,,
0.6637500000000001,0.08018832206726074,0.015512092057488566,SVC,10.0,0.1,rbf,,,
0.66375,0.6962256908416748,0.03477606935810889,RandomForest,,,,entropy,20.0,5.0
0.66125,0.43570427894592284,0.03588175023601832,RandomForest,,,,gini,30.0,5.0
0.655,0.3914632320404053,0.031721443851123805,RandomForest,,,,gini,10.0,5.0
0.6475,0.4271514415740967,0.025186802099512375,RandomForest,,,,gini,20.0,5.0
0.6450000000000001,0.04500203132629395,0.03609882269548411,SVC,10.0,0.01,poly,,,
0.64375,0.04241700172424316,0.02651650429449555,SVC,10.0,0.001,sigmoid,,,
0.64375,0.08759570121765137,0.016770509831248448,SVC,1.0,0.1,rbf,,,
0.6375000000000001,0.702446460723877,0.035133673306388016,RandomForest,,,,entropy,30.0,10.0
0.6287499999999999,0.4456737995147705,0.02038688303787512,RandomForest,,,,gini,5.0,5.0
0.6287499999999999,0.3885186672210693,0.031274990007991985,RandomForest,,,,gini,20.0,10.0
0.62625,0.6692187786102295,0.02994787137677737,RandomForest,,,,entropy,5.0,1.0
0.6224999999999999,0.6375581741333007,0.04687083314813169,RandomForest,,,,entropy,10.0,10.0
0.6212500000000001,0.3729127883911133,0.034820970692960314,RandomForest,,,,gini,30.0,10.0
0.6162500000000001,0.3402259349822998,0.03548767391644595,RandomForest,,,,gini,10.0,10.0
0.61125,0.604017972946167,0.03820176697484033,RandomForest,,,,entropy,20.0,10.0
0.60875,0.4552608013153076,0.03592526965799977,RandomForest,,,,gini,5.0,1.0
0.60875,0.6157811164855957,0.04042740407199058,RandomForest,,,,entropy,5.0,5.0
0.6075000000000002,0.03559808731079102,0.021433035249352816,SVC,10.0,0.01,sigmoid,,,
0.6062500000000001,0.6584432601928711,0.026220221204253807,RandomForest,,,,entropy,5.0,10.0
0.6,0.042020130157470706,0.024366985862022402,SVC,1.0,0.01,sigmoid,,,
0.5962500000000001,0.3594494342803955,0.028118054698005,RandomForest,,,,gini,5.0,10.0
0.595,0.4973903656005859,0.02143303524935283,RandomForest,,,,entropy,20.0,20.0
0.58875,0.6397651672363281,0.0417207981706966,RandomForest,,,,entropy,30.0,20.0
0.585,0.36625261306762696,0.028118054698004987,RandomForest,,,,gini,20.0,20.0
0.58,0.333707332611084,0.03147419578003542,RandomForest,,,,gini,10.0,20.0
0.575,0.5435923099517822,0.034232659844072866,RandomForest,,,,entropy,10.0,20.0
0.56875,0.028399276733398437,0.014790199457749054,SVC,100.0,0.01,sigmoid,,,
0.56875,0.33632645606994627,0.03036239450372782,RandomForest,,,,gini,30.0,20.0
0.56375,0.5660504817962646,0.02543373743671976,RandomForest,,,,entropy,5.0,20.0
